Bronxworks Classic Center,286 East 156th Street,Aerobic Dance ,Thursday,7:00 p.m.,60min,10451,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
P.S. 11,1257 Ogden Ave,Bilingual Belly Dance Fitness ,Wednesday,9:00 a.m.,90min,10452,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Lincoln Hospital,234 East 149th Street,Bilingual Dance Fitness ,Thursday,6:00 p.m.,60min,10451,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
St. Mary’s Recreation Center,450 Saint Ann's Avenue,Bilingual Zumba ,Thursday,7:00 p.m.,60min,10455,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
St. Mary's Community Center,595 Trinity Ave,Bilingual Zumba ,Wednesday,7:00 p.m.,60min,10455,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Church of God of Prophecy,85 East 165th Street,Body Conditioning ,Wednesday,6:00 p.m.,60min,10452,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Church of God of Prophecy,85 East 165th Street,Body Conditioning II ,Saturday,10:30 a.m.,60min,10452,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
New Settlement Community Center,1501 Jerome Ave,Body Sculpting ,Wednesday,10:00 a.m.,60min,10452,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Williamsbridge Oval Recreation Center,3225 Reservoir Oval East,Bodywork ,Tuesday,6:30 p.m.,60min,10467,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Soundview Park Field House,1550 Lafayette Avenue,Bokwa ,Sunday,11:00 a.m.,60min,10473,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Patterson Community Center,340 Morris Avenue,C - Sculpt ,Monday,6:30 p.m.,60min,10451,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
West Bronx Recreation Center,1527 Jesup Avenue,Cardio Dance/Aerobics ,Saturday,10:00 a.m.,60min,10452,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Dreiser Community Center,177 Dreiser Loop,Cardio Kickboxing ,Tuesday,7:15 p.m.,60min,10475,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Bronxworks Classic Center,286 East 156th Street,Dance Fitness ,Tuesday,7:00 p.m.,60min,10451,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
St. James Recreation Center,2530 Jerome Avenue,Family Zumba ,Saturday,12:00 p.m.,60min,10468,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Tolentine Senior Center,2345 University Ave,Fitness for All ,Monday,11:00 a.m.,60min,10468,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Justice Sonia Sotomayor Community Center,1000 Rosedale Avenue,High Intensity Interval Training ,Tuesday,6:00 p.m.,60min,10472,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Jacobi Medical Center,1400 Pelham Parkway South,Intermediate Zumba ,Tuesday,7:30 p.m.,60min,10461,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Jacobi Medical Center,1400 Pelham Parkway South,Intermediate Zumba II ,Monday,6:00 p.m.,60min,10461,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
New Settlement Community Center,1501 Jerome Ave,Kickboxing ,Monday,9:00 a.m.,90min,10452,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Poe Park Visitor Center,2640 Grand Concourse,Latin Dance Fitness ,Saturday,9:00 a.m.,60min,10458,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Jacobi Medical Center,1400 Pelham Parkway South,Line Dance ,Monday,7:00 p.m.,60min,10461,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Fort Independence Community Center,3350 Bailey Ave,"Move, Tone, and Balance ",Friday,11:00 a.m.,60min,10463,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
Bronx Neighborhood Health Action Center,1826 ARTHUR AVENUE,Power of Self: Karate + Yoga ,Wednesday,6:00 p.m.,60min,10457,Free,https://www.nycgovparks.org/programs/recreation/shape-up-nyc?fbclid=IwAR2fu7flf3TdXJicDvHYsTDBBlI054ECUvKGhAjR6nqKj4CQbiDvURdegLk
